Shape_Leng,起点_1,起点_12,终点_1,终点_12,数量,time,日期,小时
1580.68142102,114.000158291,22.649899703,114.00820597,22.639102791,3,2021-11-20,20211120,19
610.428966968,113.845624067,22.75286383,113.840200662,22.752116784,3,2021-11-20,20211120,7
1362.63249903,113.820311804,22.707330126,113.827528007,22.716450902,3,2021-11-20,20211120,18
1026.68826813,114.070895567,22.546879102,114.079906425,22.5450631,5,2021-11-20,20211120,8
1026.68826813,114.070895567,22.546879102,114.079906425,22.5450631,5,2021-11-20,20211120,8
3759.53225431,113.842919707,22.632071273,113.856448647,22.603506921,3,2021-11-20,20211120,14
1595.81571466,114.247337697,22.690803566,114.261671381,22.69101181,3,2021-11-20,20211120,11
590.908615198,114.087121578,22.542429394,114.082611131,22.545014285,3,2021-11-20,20211120,0
923.864521096,114.120455956,22.54132108,114.112360226,22.539634102,3,2021-11-20,20211120,10
4562.10194757,114.034990043,22.57191045,114.048443964,22.53616038,3,2021-11-20,20211120,13
985.031776002,114.123148846,22.547181096,114.11505267,22.550479002,3,2021-11-20,20211120,19
985.031776002,114.123148846,22.547181096,114.11505267,22.550479002,3,2021-11-20,20211120,19
4987.46168926,113.944437014,22.573122065,113.971445866,22.540109748,4,2021-11-20,20211120,6
4250.9385684,114.06548529,22.632856431,114.102430113,22.62394012,3,2021-11-20,20211120,20
1017.24677496,113.924726244,22.522253446,113.933691495,22.520619542,5,2021-11-20,20211120,18
1017.24677496,113.924726244,22.522253446,113.933691495,22.520619542,5,2021-11-20,20211120,18
1017.24677496,113.924726244,22.522253446,113.933691495,22.520619542,5,2021-11-20,20211120,18
1017.24677496,113.924726244,22.522253446,113.933691495,22.520619542,5,2021-11-20,20211120,18
2145.07650069,113.992061595,22.694918614,113.988492354,22.677447575,3,2021-11-20,20211120,21
1214.45889011,113.930977588,22.493902282,113.935471522,22.503086755,3,2021-11-20,20211120,8
1298.62692984,114.003737076,22.657414044,114.01535818,22.658355178,3,2021-11-20,20211120,16
5030.11088798,113.884367179,22.587577227,113.841991385,22.602060408,4,2021-11-20,20211120,20
705.04351429,114.030544801,22.651076396,114.024291706,22.650147891,3,2021-11-20,20211120,11
705.04351429,114.030544801,22.651076396,114.024291706,22.650147891,3,2021-11-20,20211120,11
921.172811648,114.064600706,22.54028178,114.059209855,22.534483108,3,2021-11-20,20211120,6
921.172811648,114.064600706,22.54028178,114.059209855,22.534483108,3,2021-11-20,20211120,6
1741.05978384,114.146476532,22.675143654,114.140180637,22.688353432,3,2021-11-20,20211120,12
823.477709895,114.06277242,22.57283158,114.055588238,22.571203286,3,2021-11-20,20211120,6
1317.87442614,113.96242373,22.570323649,113.960636168,22.559516631,3,2021-11-20,20211120,9
1317.87442614,113.96242373,22.570323649,113.960636168,22.559516631,3,2021-11-20,20211120,9
954.293669721,114.238371255,22.680742009,114.24105812,22.688252893,3,2021-11-20,20211120,20
1712.47580974,114.133896374,22.689907468,114.123129192,22.679770269,3,2021-11-20,20211120,9
1712.47580974,114.133896374,22.689907468,114.123129192,22.679770269,3,2021-11-20,20211120,9
806.854921822,114.062803902,22.536126492,114.055617867,22.537000746,3,2021-11-20,20211120,19
1637.41236109,113.828456505,22.791411532,113.837478254,22.802121544,3,2021-11-20,20211120,22
1637.41236109,113.828456505,22.791411532,113.837478254,22.802121544,3,2021-11-20,20211120,22
1838.20714136,113.860058652,22.586781249,113.86817507,22.600058131,4,2021-11-20,20211120,20
767.010023313,113.938139466,22.58985111,113.940835507,22.583996656,4,2021-11-20,20211120,11
